Year,Sector,Gas,Activity,Emission Factor,Unit
2015,Energy,CO2,44798,2.8,Terajoules (TJ)
2015,Energy,CH4,44798,0.035,Terajoules (TJ)
2015,Energy,N2O,44798,0.01,Terajoules (TJ)
2015,Energy,HFCs,44798,0.0003,Terajoules (TJ)
2015,Energy,PFCs,44798,3e-05,Terajoules (TJ)
2015,Energy,SF6,44798,3e-06,Terajoules (TJ)
2015,IPPU,CO2,37367,1.9,Tonnes of Product
2015,IPPU,CH4,37367,0.02,Tonnes of Product
2015,IPPU,N2O,37367,0.005,Tonnes of Product
2015,IPPU,HFCs,37367,0.0002,Tonnes of Product
2015,IPPU,PFCs,37367,2e-05,Tonnes of Product
2015,IPPU,SF6,37367,2e-06,Tonnes of Product
2015,AFOLU,CO2,21870,1.5,Head of Cattle / Hectares
2015,AFOLU,CH4,21870,0.04,Head of Cattle / Hectares
2015,AFOLU,N2O,21870,0.015,Head of Cattle / Hectares
2015,AFOLU,HFCs,21870,0.0001,Head of Cattle / Hectares
2015,AFOLU,PFCs,21870,1e-05,Head of Cattle / Hectares
2015,AFOLU,SF6,21870,1e-06,Head of Cattle / Hectares
2015,Waste,CO2,12665,2.0,Tonnes of Waste
2015,Waste,CH4,12665,0.045,Tonnes of Waste
2015,Waste,N2O,12665,0.012,Tonnes of Waste
2015,Waste,HFCs,12665,0.00025,Tonnes of Waste
2015,Waste,PFCs,12665,2.5e-05,Tonnes of Waste
2015,Waste,SF6,12665,2.5e-06,Tonnes of Waste
2016,Energy,CO2,65953,2.8,Terajoules (TJ)
2016,Energy,CH4,65953,0.035,Terajoules (TJ)
2016,Energy,N2O,65953,0.01,Terajoules (TJ)
2016,Energy,HFCs,65953,0.0003,Terajoules (TJ)
2016,Energy,PFCs,65953,3e-05,Terajoules (TJ)
2016,Energy,SF6,65953,3e-06,Terajoules (TJ)
2016,IPPU,CO2,39541,1.9,Tonnes of Product
2016,IPPU,CH4,39541,0.02,Tonnes of Product
2016,IPPU,N2O,39541,0.005,Tonnes of Product
2016,IPPU,HFCs,39541,0.0002,Tonnes of Product
2016,IPPU,PFCs,39541,2e-05,Tonnes of Product
2016,IPPU,SF6,39541,2e-06,Tonnes of Product
2016,AFOLU,CO2,24273,1.5,Head of Cattle / Hectares
2016,AFOLU,CH4,24273,0.04,Head of Cattle / Hectares
2016,AFOLU,N2O,24273,0.015,Head of Cattle / Hectares
2016,AFOLU,HFCs,24273,0.0001,Head of Cattle / Hectares
2016,AFOLU,PFCs,24273,1e-05,Head of Cattle / Hectares
2016,AFOLU,SF6,24273,1e-06,Head of Cattle / Hectares
2016,Waste,CO2,12702,2.0,Tonnes of Waste
2016,Waste,CH4,12702,0.045,Tonnes of Waste
2016,Waste,N2O,12702,0.012,Tonnes of Waste
2016,Waste,HFCs,12702,0.00025,Tonnes of Waste
2016,Waste,PFCs,12702,2.5e-05,Tonnes of Waste
2016,Waste,SF6,12702,2.5e-06,Tonnes of Waste
2017,Energy,CO2,43272,2.8,Terajoules (TJ)
2017,Energy,CH4,43272,0.035,Terajoules (TJ)
2017,Energy,N2O,43272,0.01,Terajoules (TJ)
2017,Energy,HFCs,43272,0.0003,Terajoules (TJ)
2017,Energy,PFCs,43272,3e-05,Terajoules (TJ)
2017,Energy,SF6,43272,3e-06,Terajoules (TJ)
2017,IPPU,CO2,26388,1.9,Tonnes of Product
2017,IPPU,CH4,26388,0.02,Tonnes of Product
2017,IPPU,N2O,26388,0.005,Tonnes of Product
2017,IPPU,HFCs,26388,0.0002,Tonnes of Product
2017,IPPU,PFCs,26388,2e-05,Tonnes of Product
2017,IPPU,SF6,26388,2e-06,Tonnes of Product
2017,AFOLU,CO2,19768,1.5,Head of Cattle / Hectares
2017,AFOLU,CH4,19768,0.04,Head of Cattle / Hectares
2017,AFOLU,N2O,19768,0.015,Head of Cattle / Hectares
2017,AFOLU,HFCs,19768,0.0001,Head of Cattle / Hectares
2017,AFOLU,PFCs,19768,1e-05,Head of Cattle / Hectares
2017,AFOLU,SF6,19768,1e-06,Head of Cattle / Hectares
2017,Waste,CO2,12402,2.0,Tonnes of Waste
2017,Waste,CH4,12402,0.045,Tonnes of Waste
2017,Waste,N2O,12402,0.012,Tonnes of Waste
2017,Waste,HFCs,12402,0.00025,Tonnes of Waste
2017,Waste,PFCs,12402,2.5e-05,Tonnes of Waste
2017,Waste,SF6,12402,2.5e-06,Tonnes of Waste
2018,Energy,CO2,45327,2.8,Terajoules (TJ)
2018,Energy,CH4,45327,0.035,Terajoules (TJ)
2018,Energy,N2O,45327,0.01,Terajoules (TJ)
2018,Energy,HFCs,45327,0.0003,Terajoules (TJ)
2018,Energy,PFCs,45327,3e-05,Terajoules (TJ)
2018,Energy,SF6,45327,3e-06,Terajoules (TJ)
2018,IPPU,CO2,33044,1.9,Tonnes of Product
2018,IPPU,CH4,33044,0.02,Tonnes of Product
2018,IPPU,N2O,33044,0.005,Tonnes of Product
2018,IPPU,HFCs,33044,0.0002,Tonnes of Product
2018,IPPU,PFCs,33044,2e-05,Tonnes of Product
2018,IPPU,SF6,33044,2e-06,Tonnes of Product
